id_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_DE_LA_SEMANA,semestre,ANIO,MES,DIA
2016-0078,2016-06-13,CONDUCTOR,MOTO,MASCULINO,30,5,Lunes,1,2016,6,13
2016-0079,2016-06-16,CONDUCTOR,AUTO,FEMENINO,51,5,Jueves,1,2016,6,16
2016-0080,2016-06-18,CONDUCTOR,AUTO,MASCULINO,60,5,Sábado,1,2016,6,18
2016-0081,2016-06-22,CONDUCTOR,MOTO,MASCULINO,40,5,Miércoles,1,2016,6,22
2016-0082,2016-06-27,PEATON,PEATON,MASCULINO,87,7/5/2016,Lunes,1,2016,6,27
2016-0083,2016-06-28,PEATON,PEATON,FEMENINO,76,6/29/2016,Martes,1,2016,6,28
2016-0084,2016-06-29,PEATON,PEATON,MASCULINO,57,7/8/2016,Miércoles,1,2016,6,29
2016-0085,2016-06-29,CONDUCTOR,MOTO,MASCULINO,30,5,Miércoles,1,2016,6,29
2016-0086,2016-06-30,PEATON,PEATON,MASCULINO,75,7/1/2016,Jueves,1,2016,6,30
2016-0087,2016-07-03,CONDUCTOR,MOTO,MASCULINO,23,7/3/2016,Domingo,2,2016,7,3
2016-0088,2016-07-11,PEATON,PEATON,FEMENINO,70,7/14/2016,Lunes,2,2016,7,11
2016-0089,2016-07-14,PEATON,PEATON,MASCULINO,35,7/14/2016,Jueves,2,2016,7,14
2016-0090,2016-07-14,PEATON,PEATON,MASCULINO,60,7/15/2016,Jueves,2,2016,7,14
2016-0092,2016-07-15,CONDUCTOR,MOTO,MASCULINO,24,7/15/2016,Viernes,2,2016,7,15
2016-0093,2016-07-17,CONDUCTOR,AUTO,MASCULINO,35,7/19/2016,Domingo,2,2016,7,17
2016-0095,2016-07-23,CONDUCTOR,MOTO,MASCULINO,29,7/23/2016,Sábado,2,2016,7,23
2016-0096,2016-07-25,CONDUCTOR,MOTO,MASCULINO,30,5,Lunes,2,2016,7,25
2016-0097,2016-07-26,PEATON,PEATON,MASCULINO,80,8/12/2016,Martes,2,2016,7,26
2016-0098,2016-07-27,CONDUCTOR,MOTO,FEMENINO,43,5,Miércoles,2,2016,7,27
2016-0099,2016-07-29,CONDUCTOR,CARGAS,MASCULINO,45,5,Viernes,2,2016,7,29
2016-0100,2016-08-03,CONDUCTOR,MOTO,MASCULINO,57,8/3/2016,Miércoles,2,2016,8,3
2016-0101,2016-08-07,CONDUCTOR,MOTO,MASCULINO,67,5,Domingo,2,2016,8,7
2016-0102,2016-08-10,CONDUCTOR,MOTO,MASCULINO,29,5,Miércoles,2,2016,8,10
2016-0104,2016-08-14,CONDUCTOR,MOTO,MASCULINO,21,8/15/2016,Domingo,2,2016,8,14
2016-0105,2016-08-17,PEATON,PEATON,MASCULINO,19,8/26/2016,Miércoles,2,2016,8,17
2016-0106,2016-08-19,PEATON,PEATON,MASCULINO,38,5,Viernes,2,2016,8,19
2016-0107,2016-08-20,CONDUCTOR,MOTO,MASCULINO,21,5,Sábado,2,2016,8,20
2016-0109,2016-08-24,CONDUCTOR,AUTO,FEMENINO,53,8/24/2016,Miércoles,2,2016,8,24
2016-0110,2016-08-24,PEATON,PEATON,MASCULINO,57,5,Miércoles,2,2016,8,24
2016-0111,2016-08-25,CONDUCTOR,MOTO,MASCULINO,27,8/25/2016,Jueves,2,2016,8,25
2016-0112,2016-08-27,CONDUCTOR,MOTO,MASCULINO,24,8/27/2016,Sábado,2,2016,8,27
2016-0113,2016-08-27,PEATON,PEATON,FEMENINO,60,5,Sábado,2,2016,8,27
2016-0114,2016-08-31,CICLISTA,BICICLETA,FEMENINO,55,8/31/2016,Miércoles,2,2016,8,31
2016-0115,2016-09-02,CONDUCTOR,MOTO,MASCULINO,30,5,Viernes,2,2016,9,2
2016-0116,2016-09-02,CONDUCTOR,MOTO,MASCULINO,30,9/2/2016,Viernes,2,2016,9,2
2016-0117,2016-09-03,CONDUCTOR,AUTO,MASCULINO,43,5,Sábado,2,2016,9,3
2016-0118,2016-09-04,CONDUCTOR,AUTO,MASCULINO,27,9/4/2016,Domingo,2,2016,9,4
2016-0119,2016-09-04,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,5,Domingo,2,2016,9,4
2016-0122,2016-09-13,CICLISTA,BICICLETA,MASCULINO,49,9/13/2016,Martes,2,2016,9,13
2016-0123,2016-09-14,CONDUCTOR,MOTO,FEMENINO,58,5,Miércoles,2,2016,9,14
2016-0124,2016-09-16,PEATON,PEATON,MASCULINO,67,5,Viernes,2,2016,9,16
