ID,pos x,pos y
2016-0176,-58.36956186,-34.61232875
2016-0177,-58.40966671,-34.58788235
2016-0178,-58.40288226,-34.61544091
2017-0001,-58.46594230,-34.61028571
2017-0003,-58.38957669,-34.64410277
2017-0007,-58.38161660,-34.61529543
2017-0008,-58.43917004,-34.58494351
2017-0009,-58.41595919,-34.62743346
2017-0010,-58.43564880,-34.62828656
2017-0011,-58.50073810,-34.54979510
2017-0012,-58.40969005,-34.65055290
2017-0013,-58.38972622,-34.65098981
2017-0014,-58.49185972,-34.55046754
2017-0015,-58.39293417,-34.59963642
2017-0016,-58.38099494,-34.62288231
2017-0017,-58.42901200,-34.58095431
2017-0018,-58.50877521,-34.66977709
2017-0021,-58.38362373,-34.60509972
2017-0024,-58.46589308,-34.62955795
2017-0025,-58.43614426,-34.65424640
2017-0026,-58.41842777,-34.64979057
2017-0027,-58.38332245,-34.63193250
2017-0028,-58.45475488,-34.61196327
2017-0029,-58.48501341,-34.64742455
2017-0030,-58.47010988,-34.65872088
2017-0031,-58.40997560,-34.62873635
2017-0032,-58.48892175,-34.68359163
2017-0033,-58.52466448,-34.60325478
2017-0034,-58.42554218,-34.57929036
2017-0035,-58.35881506,-34.61113641
2017-0036,-58.51452347,-34.58159762
2017-0037,-58.38896772,-34.61799615
2017-0038,-58.44516857,-34.64363363
2017-0040,-58.43834197,-34.54560369
2017-0041,-58.45485084,-34.63531854
2017-0042,.,.
2017-0045,-58.52449285,-34.62454175
2017-0047,-58.46713742,-34.67198790
2017-0049,-58.43850413,-34.65554754
2017-0050,.,.
2017-0051,.,.
2017-0052,-58.49413799,-34.68095739
2017-0053,-58.37547846,-34.65326075
2017-0054,-58.48680218,-34.58689719
2017-0055,-58.49563989,-34.57962262
2017-0058,-58.38403232,-34.59915940
2017-0059,-58.38223382,-34.62693865
2017-0060,-58.45966521,-34.67323292
2017-0061,-58.39303911,-34.59871111
2017-0062,-58.51262106,-34.63395999
2017-0063,-58.38118367,-34.61646839
2017-0064,-58.37653284,-34.60582475
2017-0065,-58.37709334,-34.64035082
2017-0066,-58.46002142,-34.60409469
2017-0067,-58.43381970,-34.62801894
2017-0068,-58.43580656,-34.66437532
2017-0069,-58.52173071,-34.65997463
2017-0070,-58.50791763,-34.59804273
2017-0072,-58.49175088,-34.58226957
2017-0073,-58.40781467,-34.60425669
2017-0074,-58.52567073,-34.63787791
2017-0075,-58.38154200,-34.60906385
2017-0076,-58.38526125,-34.57805810
2017-0077,-58.42934104,-34.58451712
2017-0079,-58.40657493,-34.61781124
2017-0080,-58.49525314,-34.64487785
2017-0082,-58.39092851,-34.62932696
2017-0083,-58.49603546,-34.64564271
2017-0084,-58.38502878,-34.58703485
2017-0085,-58.37261143,-34.63150425
2017-0086,-58.51876802,-34.63905965
2017-0087,-58.41095567,-34.61516101
2017-0088,-58.36797542,-34.62519403
2017-0089,-58.51514709,-34.64787051
2017-0090,-58.51925642,-34.59171721
2017-0091,-58.48671535,-34.54321216
2017-0092,-58.38268809,-34.62282019
2017-0093,-58.43633522,-34.54966288
2017-0094,-58.52640838,-34.61765855
2017-0095,-58.41894306,-34.59778875
2017-0096,-58.46756026,-34.54972741
2017-0098,-58.45715752,-34.63132912
2017-0099,-58.42406784,-34.56213916
2017-0100,-58.39674470,-34.61512051
2017-0101,-58.44537508,-34.57084818
2017-0102,-58.40056767,-34.65107080
2017-0104,-58.38109568,-34.61853244
2017-0106,-58.42533612,-34.58035258
2017-0107,-58.46062311,-34.54395182
2017-0108,-58.49491054,-34.54795581
2017-0109,-58.47130269,-34.63665402
2017-0110,-58.37048800,-34.60189492
2017-0111,-58.42023854,-34.64234110
2017-0112,-58.45807401,-34.63997430
2017-0113,-58.37697717,-34.59573848
2017-0114,-58.39100580,-34.58498660
2017-0115,-58.42182126,-34.63089661
2017-0116,-58.51389422,-34.58075791
2017-0118,-58.37585415,-34.65232158
2017-0120,-58.47297505,-34.66245085
2017-0123,-58.46855503,-34.67216349
2017-0124,-58.44254033,-34.59185043
2017-0125,-58.46622247,-34.67926929
2017-0126,-58.48003734,-34.68148508
2017-0127,-58.41192137,-34.59800248
2017-0128,-58.44034689,-34.61349731
2017-0129,-58.47155277,-34.64925746
2017-0130,-58.47883099,-34.59967065
2017-0132,-58.46552171,-34.69374130
2017-0134,-58.44239720,-34.66777987
2017-0135,-58.47032551,-34.59626814
2017-0136,-58.41827843,-34.65522746
2017-0137,-58.51280715,-34.59279388
2017-0138,-58.46258582,-34.64385704
2017-0139,-58.45064148,-34.68003614
2017-0140,.,.
2017-0141,-58.42717783,-34.62513374
2017-0143,-58.46442001,-34.60724519
2017-0144,-58.47064556,-34.69843756
2017-0145,-58.41677733,-34.61223119
2017-0147,-58.50251790,-34.67450313
2017-0148,-58.40708125,-34.62438894
2017-0149,-58.36947198,-34.61477051
2017-0150,-58.51140889,-34.63934531
2017-0151,-58.37460912,-34.65559133
2017-0152,-58.41146277,-34.65073916
2017-0153,-58.42855267,-34.61829385
2017-0154,-58.39035581,-34.63412287
2017-0155,-58.45593915,-34.62656868
2017-0157,-58.52866211,-34.64597065
2017-0158,-58.52037476,-34.59407024
2017-0159,-58.38896772,-34.61799615
2017-0160,-58.47074114,-34.62771756
2017-0161,-58.48200819,-34.65969965
2018-0001,-58.39536773,-34.62297346
2018-0002,-58.37456088,-34.61895467
2018-0003,-58.44860217,-34.60395657
2018-0004,-58.46129513,-34.54332766
2018-0005,-58.36907201,-34.61953517
2018-0006,-58.44062219,-34.62499107
2018-0007,-58.52502765,-34.63601265
2018-0008,-58.36659655,-34.61687778
2018-0009,-58.36737389,-34.62763661
2018-0010,-58.49807953,-34.63038658
2018-0011,-58.39092703,-34.59088447
2018-0012,-58.46912006,-34.68049201
2018-0013,-58.48661286,-34.56786129
2018-0014,-58.44074927,-34.65080597
2018-0015,-58.38636298,-34.64684275
2018-0016,-58.37533517,-34.59276462
2018-0017,-58.46963952,-34.63070603
2018-0018,-58.37207554,-34.64543658
2018-0019,-58.39189441,-34.59176378
2018-0020,-58.45012957,-34.66518343
2018-0021,-58.40184094,-34.64546845
2018-0022,-58.37441153,-34.63966783
2018-0023,-58.44110156,-34.62082399
2018-0024,-58.47087351,-34.57827342
2018-0025,-58.45962210,-34.62245140
2018-0026,-58.41657793,-34.65476216
2018-0027,-58.41911301,-34.63722107
2018-0028,-58.47120586,-34.64251042
